TrialNum,part,avatar,type,height,affordance,time,eyeHeight
1,0,0,0,1,0.6155198,8/6/2022 14:43,1.43
2,0,0,0,2,0.5860403,8/6/2022 14:43,
1,1,0,0,1,0.6255198,8/6/2022 14:44,
2,1,0,0,2,0.5410403,8/6/2022 14:45,
3,2,0,0,3,0.6355197,8/6/2022 14:45,
4,2,0,0,4,0.6660402,8/6/2022 14:46,
1,3,0,0,1,0.6305197,8/6/2022 14:48,
2,3,0,0,2,0.6010402,8/6/2022 14:48,
1,0,0,1,1,0.5805198,8/6/2022 14:51,
2,0,0,1,2,0.5860403,8/6/2022 14:51,
1,1,0,1,1,0.5055199,8/6/2022 14:52,
2,1,0,1,2,0.6110402,8/6/2022 14:52,
3,2,0,1,3,0.5405198,8/6/2022 14:53,
4,2,0,1,4,0.6310402,8/6/2022 14:53,
1,3,0,1,1,0.6755197,8/6/2022 14:54,
2,3,0,1,2,0.7960401,8/6/2022 14:54,
1,0,1,0,1,0.6455197,8/6/2022 14:59,
2,0,1,0,2,0.6310402,8/6/2022 14:59,
1,1,1,0,1,0.6605197,8/6/2022 15:08,
2,1,1,0,2,0.6560402,8/6/2022 15:08,
3,2,1,0,3,0.7755196,8/6/2022 15:08,
4,2,1,0,4,0.7310401,8/6/2022 15:09,
1,3,1,0,1,0.7205197,8/6/2022 15:10,
2,3,1,0,2,0.5810403,8/6/2022 15:10,
1,0,1,1,1,0.5805198,8/6/2022 15:12,
2,0,1,1,2,0.6610402,8/6/2022 15:12,
1,1,1,1,1,0.6055198,8/6/2022 15:13,
2,1,1,1,2,0.7460401,8/6/2022 15:14,
3,2,1,1,3,0.5655198,8/6/2022 15:14,
,,,,,,,
1,3,1,1,1,0.5605198,8/6/2022 15:15,
2,3,1,1,2,0.6360402,8/6/2022 15:16,
